,timestamp,sex,age,first language,Zvířata [aligátor],Zvířata [velbloud],Zvířata [kočka],Zvířata [kráva],Zvířata [pes],Zvířata [slon],Zvířata [žába],Zvířata [kůň],Zvířata [klokan],Zvířata [opice],Zvířata [myš],Zvířata [králík],Zvířata [nosorožec],Zvířata [veverka],Zvířata [tygr],Zvířata [želva],Ptáci [kuře],Ptáci [kachna],Ptáci [orel],Ptáci [pštros],Ptáci [sova],Ptáci [páv],Ptáci [tučňák],Ptáci [labuť],Ovoce [jablko],Ovoce [banán],Ovoce [třešeň],Ovoce [pomeranč],Ovoce [ananas],Ovoce [rajče],Domácí potřeby [sud],Domácí potřeby [košík],Domácí potřeby [kartáč],Domácí potřeby [svíčka],Domácí potřeby [hřeben],Domácí potřeby [popelnice],Domácí potřeby [obálka],Domácí potřeby [sklenka],Domácí potřeby [klíč],Domácí potřeby [klavír],Domácí potřeby [zástrčka],Domácí potřeby [stolička],Domácí potřeby [kufr],Domácí potřeby [toustovač],Domácí potřeby [zubní kartáček],Domácí potřeby [kropící konev],Nářadí [sekera],Nářadí [kladivo],Nářadí [malířský štětec],Nářadí [kleště],Nářadí [pila],Nářadí [nůžky],Nářadí [šroubovák],Nářadí [klíč na matice],Dopravní prostředky [letadlo],Dopravní prostředky [jízdní kolo],Dopravní prostředky [autobus],Dopravní prostředky [helikoptéra],Dopravní prostředky [náklaďák],Dopravní prostředky [motorka],Dopravní prostředky [sáně],Dopravní prostředky [vlak]
0,8.9.2022 17:39:17,man,30,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,4,5,5,5,5,5,2,1,2,1,2,3,3,5,5,5,1,2,4,1,5,2,2,5,5,2,5,5,3,5,4,3,4,5,2,5,5,2,5
1,8.9.2022 19:53:19,man,65,CS,3,5,5,5,5,5,3,5,5,5,3,4,5,3,5,4,3,3,5,5,5,5,3,5,5,5,5,5,5,1,3,4,5,5,4,3,4,5,4,3,4,5,3,5,4,3,4,5,4,5,5,5,5,5,5,5,5,4,5,5,2,5
2,9.9.2022 9:26:08,man,24,CS,3,4,5,5,5,3,4,5,4,5,4,5,3,5,4,5,5,5,5,4,4,3,4,5,4,5,4,5,5,4,2,4,4,3,5,4,3,5,5,3,5,4,4,4,5,3,4,4,2,5,3,5,5,3,3,5,5,2,4,3,2,5
3,9.9.2022 10:10:45,man,21,CS,3,4,5,4,5,5,3,5,3,3,2,2,5,1,4,5,3,5,4,4,5,3,5,3,5,5,5,3,3,1,2,3,5,2,5,5,2,2,3,3,1,2,1,2,3,5,5,5,3,2,3,4,5,5,5,5,5,3,4,4,1,5
4,9.9.2022 10:38:31,man,20,CS,2,2,5,4,5,2,3,4,2,3,4,4,2,4,3,2,3,3,5,2,4,2,2,2,5,5,3,4,3,2,1,2,4,4,5,5,1,5,4,3,5,5,4,3,5,5,5,5,2,5,5,4,5,3,4,4,5,2,3,5,1,5
5,9.9.2022 11:02:42,man,20,SK,3,2,5,5,5,5,3,4,4,5,5,5,5,5,5,3,4,4,5,2,5,3,3,5,5,5,5,5,5,1,2,3,5,2,5,5,2,5,5,1,5,5,3,3,5,2,1,4,1,5,1,5,5,5,4,5,5,4,5,2,1,5
6,9.9.2022 11:45:24,man,27,CS,4,5,5,5,5,5,3,5,4,5,5,5,4,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,5,2,3,5,3,3,5,1,3,5,1,5,3,4,3,5,1,5,5,2,5,5,5,4,5,1,1,5,1,5
7,9.9.2022 14:01:23,woman,18,CS,2,3,5,4,5,3,4,4,3,3,3,,3,4,3,3,2,5,4,3,5,3,2,3,5,1,3,4,3,2,1,2,3,1,3,1,2,5,2,1,2,4,1,5,4,2,5,5,3,5,4,5,5,4,4,2,5,1,2,3,1,5
8,9.9.2022 14:08:45,man,22,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5,5,3,5,5,5,5,5,5,1,1,3,5,5,1,3,1,2,1,1,3,1,1,4,1,1,4,5,1,5,,3,5,5,5,5,5,3,4,5,2,5
9,9.9.2022 14:16:31,woman,21,CS,3,3,4,5,4,2,3,4,3,4,4,2,2,2,2,2,3,4,2,4,3,2,3,3,5,4,3,4,3,3,2,3,3,2,3,3,2,4,3,2,4,4,2,4,4,3,4,4,3,4,4,4,4,4,2,4,5,2,2,3,2,5
10,9.9.2022 14:19:37,man,19,CS,3,2,5,4,5,3,3,4,3,4,4,4,1,3,4,3,5,5,4,3,5,4,3,3,5,4,3,3,2,4,2,2,4,4,5,3,3,4,4,2,3,2,2,1,5,3,4,5,1,5,4,4,5,3,4,5,5,1,2,3,1,5
11,9.9.2022 14:22:13,woman,29,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,3,5,2,1,5,5,1,3,1,2,2,5,3,4,4,1,2,2,5,5,2,5,5,5,3,4,4,1,5
12,9.9.2022 14:29:15,man,22,CS,3,4,5,5,5,4,3,5,4,4,5,5,2,5,5,3,2,4,5,4,5,4,3,4,5,5,5,3,3,2,2,2,5,1,5,3,2,4,,3,3,2,4,5,5,4,4,5,3,5,5,2,5,5,3,5,5,2,4,5,1,5
13,9.9.2022 14:30:21,man,24,CS,2,3,5,5,5,5,5,5,3,5,5,4,4,4,5,4,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,4,4,5,4,5,4,5,5,4,4,4,4,5,5,3,4,5,5,4,4,5,5,4,4,4,5,4,5,5,4,5
14,9.9.2022 14:44:04,woman,60,CS,1,1,5,5,5,1,1,4,1,1,5,3,1,2,1,1,5,4,4,1,4,4,1,4,5,1,4,1,1,4,2,3,4,3,5,4,1,5,5,3,4,2,5,5,5,1,2,5,4,5,4,5,5,4,3,5,5,1,4,5,1,5
15,9.9.2022 15:39:44,man,21,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,3,4,2,3,3,5,5,5,5,5,1,5,1,1,3,2,4,1,4,4,1,3,5,3,4,5,1,5,5,1,5,4,2,5,2,5,4,5,2,5,5,2,5
16,9.9.2022 15:50:40,man,41,CS,1,4,4,5,4,5,2,5,3,4,4,4,3,3,4,2,5,4,4,3,4,4,1,5,5,4,4,5,5,3,1,3,4,2,2,2,2,5,4,4,3,2,4,4,3,2,2,5,3,5,3,2,5,5,3,3,4,2,5,5,1,3
17,9.9.2022 15:51:25,man,25,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,3,5,3,3,3,4,3,5,5,1,5,3,3,3,5,3,5,5,3,5,5,5,5,4,4,5,5,3,4,5,4,5
18,9.9.2022 16:15:55,woman,36,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,3,3,4,4,5,4,3,2,5,3,1,4,5,3,5,3,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,3,5
19,9.9.2022 21:04:06,man,24,CS,4,3,5,4,5,5,4,4,3,5,4,4,4,4,4,3,4,4,5,2,5,3,2,4,5,4,3,5,3,2,2,3,5,3,4,3,3,5,5,1,5,5,3,4,5,4,3,4,3,5,2,5,5,3,4,5,5,3,4,5,2,5
20,10.9.2022 1:12:21,man,21,CS,3,3,5,5,5,4,3,5,3,5,4,5,4,4,4,3,5,5,5,3,5,4,2,3,5,3,4,5,3,2,2,2,5,3,5,4,2,5,5,3,3,4,4,4,5,1,2,5,5,5,3,5,5,4,2,3,5,2,3,4,2,4
21,10.9.2022 20:46:59,man,25,CS,1,4,5,4,5,3,2,4,,4,2,4,2,3,4,3,3,2,5,2,2,3,1,3,5,4,4,5,3,1,1,1,1,2,1,2,2,4,3,1,2,3,1,5,4,2,4,5,1,4,5,1,2,5,,3,5,2,2,3,1,4
22,13.9.2022 11:00:42,man,23,CS,3,3,5,5,5,4,2,4,3,5,3,4,3,4,5,4,5,3,5,4,5,4,5,4,5,5,5,5,5,2,2,3,4,2,3,1,2,5,5,1,3,5,2,5,4,2,5,5,2,5,5,2,5,5,5,4,5,2,5,4,1,5
23,13.9.2022 18:24:19,man,20,CS,2,2,4,4,4,3,4,3,2,4,4,3,3,3,4,3,4,3,4,2,4,1,1,3,3,3,3,3,1,2,3,4,4,3,4,4,2,5,5,1,3,4,4,3,5,4,3,5,1,5,4,4,5,2,5,5,4,3,4,4,1,5
24,13.9.2022 23:17:47,man,21,CS,1,2,5,4,5,3,3,4,2,3,4,5,2,4,3,3,5,5,4,3,4,2,3,4,5,4,3,4,2,2,1,3,2,4,5,4,4,5,5,3,4,3,4,4,5,2,5,5,2,4,5,5,4,1,3,5,5,2,4,4,1,4
25,15.9.2022 17:33:35,man,20,CS,4,5,5,4,5,5,4,5,5,3,5,5,3,5,5,5,1,4,5,3,5,1,1,2,4,5,5,5,5,2,1,3,5,5,5,1,2,1,1,1,2,3,1,1,2,1,4,5,3,5,3,1,5,5,5,4,5,5,5,5,1,5
26,15.9.2022 18:27:40,man,21,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,1,4,4,2,2,5,3,4,3,2,1,1,2,4,2,5,1,1,4,4,3,,2,3,4,5,2,4,5,2,5,3,2,5,5,5,5,5,5,4,5,2,5
27,15.9.2022 19:32:41,woman,24,CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,1,1,1,1,1,1,1,1,1,1,5,1,2,4,4,1,5,4,1,5,5,5,5,5,3,4,5,1,5
28,15.9.2022 20:00:59,man,22,CS,2,2,5,4,5,2,3,4,2,3,4,4,2,3,2,3,5,5,4,2,4,2,2,3,5,5,4,5,3,5,4,2,4,3,5,4,4,5,5,1,2,4,3,1,5,3,4,5,4,4,4,5,5,4,2,5,4,1,2,3,1,4
29,15.9.2022 22:27:16,man,20,CS,1,3,5,4,5,2,2,3,3,2,4,4,2,4,3,2,5,4,5,2,4,2,3,3,5,5,3,3,2,4,1,4,4,2,5,3,3,4,3,1,,3,2,4,4,2,3,5,2,3,4,4,5,3,3,4,4,2,2,3,1,4
30,19.9.2022 11:09:43,man,21,CS,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,5,3,5,2,3,3,3,2,3,3,2,1,1,1,2,2,2,1,1,3,2,1,1,2,2,2,2,2,2,3,1,3,2,1,2,2,2,2,3,2,3,3,1,3
31,20.9.2022 17:42:35,man,22,CS,1,4,5,4,5,2,1,5,5,5,5,5,2,4,4,2,3,4,5,1,4,2,1,2,5,5,5,5,4,1,1,1,2,3,3,3,1,5,5,1,5,5,2,4,5,1,5,5,2,5,4,5,5,5,2,5,3,1,2,4,1,3
32,20.9.2022 23:52:48,man,23,CS,2,2,4,3,4,2,3,3,1,2,4,4,2,3,1,2,3,3,4,2,4,2,1,4,4,3,3,4,2,1,2,3,3,3,3,1,2,4,3,2,1,4,4,4,4,3,2,4,1,4,2,2,4,3,3,4,3,2,4,3,1,4
33,21.9.2022 12:07:18,man,24,CS,2,4,4,5,4,4,1,5,4,3,2,3,4,2,4,2,4,3,5,4,4,2,2,3,5,4,3,4,5,1,1,1,2,1,2,3,1,4,5,1,5,2,2,3,4,1,3,4,2,5,3,1,4,5,3,4,5,2,5,5,1,5
