,respondent 0,respondent 1,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 28,respondent 29,respondent 30,respondent 31,respondent 32,respondent 33,std,mean,nonmissing
alligator,5.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,5.0,3.0,3.0,5.0,3.0,2.0,1.0,5.0,1.0,5.0,5.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,5.0,2.0,1.0,3.0,1.0,2.0,2.0,1.4142135623730951,3.0,34
camel,5.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,5.0,3.0,2.0,5.0,4.0,3.0,1.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,1.233807780786253,3.588235294117647,34
cat,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,0.4785971776630355,4.794117647058823,34
cow,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,0.6147329608787305,4.529411764705882,34
dog,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,0.4785971776630355,4.794117647058823,34
elephant,5.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,1.3206842066211508,3.7941176470588234,34
frog,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,1.0,5.0,2.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,5.0,3.0,2.0,3.0,1.0,3.0,1.0,1.2556467820827335,3.3823529411764706,34
horse,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,0.7045813917578353,4.4411764705882355,34
kangaroo,5.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,,3.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,5.0,1.0,4.0,1.2507573463281914,3.5757575757575757,33
monkey,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,5.0,2.0,3.0,1.126570996581521,4.0588235294117645,34
mouse,5.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,2.0,1.0079894745227567,4.117647058823529,34
rabbit,5.0,4.0,5.0,2.0,4.0,5.0,5.0,,5.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,0.902437775912522,4.242424242424242,33
rhinoceros,5.0,5.0,3.0,5.0,2.0,5.0,4.0,3.0,5.0,2.0,1.0,5.0,2.0,4.0,1.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,1.3510410589463968,3.411764705882353,34
squirrel,5.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,1.1218141660600054,3.8823529411764706,34
tiger,5.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,1.0,4.0,1.1806521053804944,4.0,34
turtle,5.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,4.0,1.0,5.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,1.2598984199214234,3.4411764705882355,34
